week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-001,STR-001,143,94,107,130,0
2024-01-01,BEV-001,STR-002,212,42,105,149,0
2024-01-01,BEV-001,STR-003,199,63,86,176,0
2024-01-01,BEV-001,STR-004,207,102,67,242,0
2024-01-01,BEV-001,STR-005,177,57,64,170,0
2024-01-01,BEV-001,STR-006,139,77,59,157,0
2024-01-01,BEV-001,STR-007,249,109,52,306,0
2024-01-01,BEV-001,STR-008,129,83,107,105,0
2024-01-01,BEV-001,STR-009,153,116,119,150,0
2024-01-01,BEV-001,STR-010,159,60,88,131,0
2024-01-01,BEV-001,STR-011,332,119,63,388,0
2024-01-01,BEV-001,STR-012,304,96,61,339,0
2024-01-01,BEV-001,STR-013,225,86,45,266,0
2024-01-01,BEV-001,STR-014,233,118,70,281,0
2024-01-01,BEV-001,STR-015,312,97,76,333,0
2024-01-01,BEV-001,STR-016,256,70,69,257,0
2024-01-01,BEV-001,STR-017,327,100,79,348,0
2024-01-01,BEV-001,STR-018,214,113,64,263,0
2024-01-01,BEV-001,STR-019,238,76,96,218,0
2024-01-01,BEV-001,STR-020,248,107,88,267,0
2024-01-01,BEV-001,STR-021,161,65,93,133,0
2024-01-01,BEV-001,STR-022,155,72,117,110,0
2024-01-01,BEV-001,STR-023,284,101,46,339,0
2024-01-01,BEV-001,STR-024,261,53,87,227,0
2024-01-01,BEV-001,STR-025,337,55,106,286,0
2024-01-01,BEV-001,STR-026,141,60,76,125,0
2024-01-01,BEV-001,STR-027,235,105,74,266,0
2024-01-01,BEV-001,STR-028,332,95,58,369,0
2024-01-01,BEV-001,STR-029,353,68,51,370,0
2024-01-01,BEV-001,STR-030,346,84,97,333,0
2024-01-01,BEV-002,STR-001,221,104,74,251,0
2024-01-01,BEV-002,STR-002,140,87,138,89,0
2024-01-01,BEV-002,STR-003,358,52,96,314,0
2024-01-01,BEV-002,STR-004,155,44,166,33,0
2024-01-01,BEV-002,STR-005,240,57,162,135,0
2024-01-01,BEV-002,STR-006,121,50,175,0,1
2024-01-01,BEV-002,STR-007,333,59,67,325,0
2024-01-01,BEV-002,STR-008,360,117,110,367,0
2024-01-01,BEV-002,STR-009,228,54,107,175,0
2024-01-01,BEV-002,STR-010,180,78,76,182,0
2024-01-01,BEV-002,STR-011,132,70,55,147,0
2024-01-01,BEV-002,STR-012,283,119,93,309,0
2024-01-01,BEV-002,STR-013,136,54,98,92,0
2024-01-01,BEV-002,STR-014,272,108,103,277,0
2024-01-01,BEV-002,STR-015,281,105,42,344,0
2024-01-01,BEV-002,STR-016,181,58,113,126,0
2024-01-01,BEV-002,STR-017,229,40,77,192,0
2024-01-01,BEV-002,STR-018,210,70,118,162,0
2024-01-01,BEV-002,STR-019,226,63,113,176,0
2024-01-01,BEV-002,STR-020,254,86,50,290,0
2024-01-01,BEV-002,STR-021,254,109,48,315,0
2024-01-01,BEV-002,STR-022,321,104,104,321,0
2024-01-01,BEV-002,STR-023,343,100,155,288,0
2024-01-01,BEV-002,STR-024,215,72,85,202,0
2024-01-01,BEV-002,STR-025,137,84,70,151,0
2024-01-01,BEV-002,STR-026,280,53,139,194,0
2024-01-01,BEV-002,STR-027,205,57,226,36,0
2024-01-01,BEV-002,STR-028,206,62,75,193,0
2024-01-01,BEV-002,STR-029,242,120,216,146,0
2024-01-01,BEV-002,STR-030,136,98,129,105,0
2024-01-01,BEV-003,STR-001,195,65,44,216,0
2024-01-01,BEV-003,STR-002,322,65,45,342,0
2024-01-01,BEV-003,STR-003,200,79,45,234,0
2024-01-01,BEV-003,STR-004,221,109,105,225,0
2024-01-01,BEV-003,STR-005,184,44,100,128,0
2024-01-01,BEV-003,STR-006,193,85,64,214,0
2024-01-01,BEV-003,STR-007,341,82,46,377,0
2024-01-01,BEV-003,STR-008,151,87,74,164,0
2024-01-01,BEV-003,STR-009,347,91,95,343,0
2024-01-01,BEV-003,STR-010,349,89,96,342,0
2024-01-01,BEV-003,STR-011,167,103,83,187,0
2024-01-01,BEV-003,STR-012,214,106,103,217,0
2024-01-01,BEV-003,STR-013,325,50,74,301,0
2024-01-01,BEV-003,STR-014,140,95,94,141,0
2024-01-01,BEV-003,STR-015,330,63,117,276,0
2024-01-01,BEV-003,STR-016,195,81,109,167,0
2024-01-01,BEV-003,STR-017,140,81,53,168,0
2024-01-01,BEV-003,STR-018,198,97,77,218,0
2024-01-01,BEV-003,STR-019,303,94,117,280,0
2024-01-01,BEV-003,STR-020,296,96,61,331,0
2024-01-01,BEV-003,STR-021,234,45,84,195,0
2024-01-01,BEV-003,STR-022,277,95,85,287,0
2024-01-01,BEV-003,STR-023,283,47,75,255,0
2024-01-01,BEV-003,STR-024,291,91,49,333,0
2024-01-01,BEV-003,STR-025,251,60,86,225,0
2024-01-01,BEV-003,STR-026,156,117,43,230,0
2024-01-01,BEV-003,STR-027,128,56,96,88,0
2024-01-01,BEV-003,STR-028,180,86,48,218,0
2024-01-01,BEV-003,STR-029,218,112,86,244,0
2024-01-01,BEV-003,STR-030,274,59,44,289,0
2024-01-01,BEV-004,STR-001,184,53,128,109,0
2024-01-01,BEV-004,STR-002,236,38,116,158,0
2024-01-01,BEV-004,STR-003,170,71,106,135,0
2024-01-01,BEV-004,STR-004,119,31,75,75,0
