week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV-001,STR-001,North,107,128.4,0,,0.0
2024-01-01,BEV-001,STR-002,North,105,126.0,0,,0.0
2024-01-01,BEV-001,STR-003,North,86,103.2,0,,0.0
2024-01-01,BEV-001,STR-004,North,67,80.4,0,,0.0
2024-01-01,BEV-001,STR-005,North,64,76.8,0,,0.0
2024-01-01,BEV-001,STR-006,North,59,70.8,0,,0.0
2024-01-01,BEV-001,STR-007,North,52,62.4,0,,0.0
2024-01-01,BEV-001,STR-008,South,107,128.4,0,,0.0
2024-01-01,BEV-001,STR-009,South,119,142.8,0,,0.0
2024-01-01,BEV-001,STR-010,South,88,105.6,0,,0.0
2024-01-01,BEV-001,STR-011,South,63,75.6,0,,0.0
2024-01-01,BEV-001,STR-012,South,61,73.2,0,,0.0
2024-01-01,BEV-001,STR-013,South,45,54.0,0,,0.0
2024-01-01,BEV-001,STR-014,South,70,84.0,0,,0.0
2024-01-01,BEV-001,STR-015,East,76,91.2,0,,0.0
2024-01-01,BEV-001,STR-016,East,69,82.8,0,,0.0
2024-01-01,BEV-001,STR-017,East,79,94.8,0,,0.0
2024-01-01,BEV-001,STR-018,East,64,76.8,0,,0.0
2024-01-01,BEV-001,STR-019,East,96,115.2,0,,0.0
2024-01-01,BEV-001,STR-020,East,88,105.6,0,,0.0
2024-01-01,BEV-001,STR-021,East,93,111.6,0,,0.0
2024-01-01,BEV-001,STR-022,East,117,140.4,0,,0.0
2024-01-01,BEV-001,STR-023,West,46,55.2,0,,0.0
2024-01-01,BEV-001,STR-024,West,87,104.4,0,,0.0
2024-01-01,BEV-001,STR-025,West,106,127.2,0,,0.0
2024-01-01,BEV-001,STR-026,West,76,91.2,0,,0.0
2024-01-01,BEV-001,STR-027,West,74,88.8,0,,0.0
2024-01-01,BEV-001,STR-028,West,58,69.6,0,,0.0
2024-01-01,BEV-001,STR-029,West,51,61.2,0,,0.0
2024-01-01,BEV-001,STR-030,West,97,116.4,0,,0.0
2024-01-01,BEV-002,STR-001,North,74,113.75,1,BOGO,0.268
2024-01-01,BEV-002,STR-002,North,138,212.13,1,BOGO,0.268
2024-01-01,BEV-002,STR-003,North,96,147.57,1,BOGO,0.268
2024-01-01,BEV-002,STR-004,North,166,255.18,1,BOGO,0.268
2024-01-01,BEV-002,STR-005,North,162,249.03,1,BOGO,0.268
2024-01-01,BEV-002,STR-006,North,175,269.01,1,BOGO,0.268
2024-01-01,BEV-002,STR-007,North,67,102.99,1,BOGO,0.268
2024-01-01,BEV-002,STR-008,South,110,231.0,0,,0.0
2024-01-01,BEV-002,STR-009,South,107,224.7,0,,0.0
2024-01-01,BEV-002,STR-010,South,76,159.6,0,,0.0
2024-01-01,BEV-002,STR-011,South,55,115.5,0,,0.0
2024-01-01,BEV-002,STR-012,South,93,195.3,0,,0.0
2024-01-01,BEV-002,STR-013,South,98,205.8,0,,0.0
2024-01-01,BEV-002,STR-014,South,103,216.3,0,,0.0
